"county","state","median_income","cum_county","cum_median_income"
"Graves","Kentucky","50,576","81.7%","88.53%"
"Garza","Texas","50,545","81.73%","88.55%"
"Russell","Kentucky","50,520","81.76%","88.58%"
"Woods","Oklahoma","50,512","81.79%","88.6%"
"Cleveland","Arkansas","50,509","81.82%","88.63%"
"Perry","Tennessee","50,489","81.85%","88.65%"
"Decatur","Georgia","50,485","81.89%","88.67%"
"Marion","Georgia","50,484","81.92%","88.7%"
"Potter","Texas","50,448","81.95%","88.72%"
"Wilkes","North Carolina","50,438","81.98%","88.75%"
"Shelby","Texas","50,436","82.01%","88.77%"
"Perry","Mississippi","50,435","82.04%","88.79%"
"Benton","Tennessee","50,435","82.07%","88.82%"
"McDonough","Illinois","50,434","82.1%","88.84%"
"Candler","Georgia","50,431","82.13%","88.87%"
"Newton","Mississippi","50,426","82.16%","88.89%"
"Dickens","Texas","50,417","82.19%","88.91%"
"Berrien","Georgia","50,414","82.23%","88.94%"
"Las Animas","Colorado","50,408","82.26%","88.96%"
"Carroll","Tennessee","50,391","82.29%","88.99%"
"Carter","Kentucky","50,389","82.32%","89.01%"
"Unicoi","Tennessee","50,381","82.35%","89.03%"
"McIntosh","Georgia","50,348","82.38%","89.06%"
"Adair","Kentucky","50,316","82.41%","89.08%"
"Crawford","Kansas","50,311","82.44%","89.11%"
"Bacon","Georgia","50,310","82.47%","89.13%"
"Norton","Kansas","50,305","82.5%","89.15%"
"Campbell","Tennessee","50,260","82.53%","89.18%"
"Ritchie","West Virginia","50,256","82.57%","89.2%"
"Union","Arkansas","50,221","82.6%","89.23%"
"St. Helena Parish","Louisiana","50,193","82.63%","89.25%"
"Craig","Oklahoma","50,182","82.66%","89.27%"
"Mora","New Mexico","50,178","82.69%","89.3%"
"Coffee","Georgia","50,175","82.72%","89.32%"
"McCurtain","Oklahoma","50,175","82.75%","89.35%"
"Nolan","Texas","50,160","82.78%","89.37%"
"Dodge","Georgia","50,152","82.81%","89.39%"
"Cook","Georgia","50,133","82.84%","89.42%"
"Duval","Texas","50,081","82.87%","89.44%"
"Caddo Parish","Louisiana","50,067","82.91%","89.47%"
"Forest","Pennsylvania","50,061","82.94%","89.49%"
"Emanuel","Georgia","50,053","82.97%","89.51%"
"Russell","Alabama","50,046","83%","89.54%"
"Lauderdale","Mississippi","50,033","83.03%","89.56%"
"Le Flore","Oklahoma","50,027","83.06%","89.59%"
"Miller","Arkansas","49,983","83.09%","89.61%"
"Woodruff","Arkansas","49,982","83.12%","89.63%"
"Shoshone","Idaho","49,975","83.15%","89.66%"
"Hinds","Mississippi","49,966","83.18%","89.68%"
"Haskell","Oklahoma","49,930","83.21%","89.7%"
"Jasper","Texas","49,919","83.25%","89.73%"
"Malheur","Oregon","49,902","83.28%","89.75%"
"Dade","Missouri","49,899","83.31%","89.78%"
"Grayson","Kentucky","49,893","83.34%","89.8%"
"Walker","Texas","49,862","83.37%","89.82%"
"Ouachita","Arkansas","49,838","83.4%","89.85%"
"Douglas","Missouri","49,828","83.43%","89.87%"
"Howell","Missouri","49,814","83.46%","89.9%"
"Clare","Michigan","49,805","83.49%","89.92%"
"Sequoyah","Oklahoma","49,795","83.52%","89.94%"
"Rutherford","North Carolina","49,771","83.55%","89.97%"
"Elbert","Georgia","49,727","83.59%","89.99%"
"Laurens","Georgia","49,705","83.62%","90.01%"
"Colquitt","Georgia","49,691","83.65%","90.04%"
"Lake","Michigan","49,680","83.68%","90.06%"
"Gogebic","Michigan","49,672","83.71%","90.09%"
"Fleming","Kentucky","49,663","83.74%","90.11%"
"Morgan","Missouri","49,663","83.77%","90.13%"
"Bledsoe","Tennessee","49,655","83.8%","90.16%"
"Hart","Kentucky","49,653","83.83%","90.18%"
"Lewis","Idaho","49,643","83.86%","90.2%"
"Scioto","Ohio","49,571","83.89%","90.23%"
"Wayne","Georgia","49,562","83.93%","90.25%"
"Seminole","Georgia","49,559","83.96%","90.27%"
"Pike","Ohio","49,552","83.99%","90.3%"
"Deer Lodge","Montana","49,533","84.02%","90.32%"
"Adams","Ohio","49,521","84.05%","90.35%"
"La Paz","Arizona","49,506","84.08%","90.37%"
"Barton","Missouri","49,503","84.11%","90.39%"
"Weakley","Tennessee","49,502","84.14%","90.42%"
"Lewis","Tennessee","49,477","84.17%","90.44%"
"Jackson","Alabama","49,454","84.2%","90.46%"
"Monroe","Kentucky","49,430","84.23%","90.49%"
"Comanche","Kansas","49,417","84.27%","90.51%"
"Alcorn","Mississippi","49,404","84.3%","90.53%"
"Emporia city","Virginia","49,375","84.33%","90.56%"
"Hardy","West Virginia","49,302","84.36%","90.58%"
"Chambers","Alabama","49,295","84.39%","90.61%"
"Nicholas","West Virginia","49,280","84.42%","90.63%"
"Polk","Arkansas","49,252","84.45%","90.65%"
"Halifax","Virginia","49,244","84.48%","90.68%"
"New Madrid","Missouri","49,237","84.51%","90.7%"
"Butler","Missouri","49,213","84.54%","90.72%"
"Lauderdale","Tennessee","49,205","84.57%","90.75%"
"Bent","Colorado","49,194","84.61%","90.77%"
"Barren","Kentucky","49,171","84.64%","90.79%"
"Yalobusha","Mississippi","49,171","84.67%","90.82%"
"Clarke","Alabama","49,167","84.7%","90.84%"
"Hardin","Tennessee","49,149","84.73%","90.86%"
"Hidalgo","New Mexico","49,076","84.76%","90.89%"
"Winston","Mississippi","49,071","84.79%","90.91%"
"Cherokee","South Carolina","49,047","84.82%","90.93%"
"Crenshaw","Alabama","49,040","84.85%","90.96%"
"Graham","North Carolina","49,038","84.88%","90.98%"
"Bronx","New York","49,036","84.91%","91%"
"Russell","Virginia","49,020","84.95%","91.03%"
"Montgomery","Arkansas","49,015","84.98%","91.05%"
"Crawford","Indiana","48,993","85.01%","91.07%"
"Niobrara","Wyoming","48,987","85.04%","91.1%"
"Payne","Oklahoma","48,937","85.07%","91.12%"
"Charlotte","Virginia","48,892","85.1%","91.14%"
"Clarendon","South Carolina","48,887","85.13%","91.17%"
"Colleton","South Carolina","48,779","85.16%","91.19%"
"Jefferson","Oklahoma","48,750","85.19%","91.21%"
"Clay","Georgia","48,715","85.22%","91.24%"
"Hopewell city","Virginia","48,681","85.26%","91.26%"
"Greenbrier","West Virginia","48,662","85.29%","91.28%"
"Ottawa","Oklahoma","48,656","85.32%","91.31%"
"Lincoln","West Virginia","48,593","85.35%","91.33%"
"Metcalfe","Kentucky","48,572","85.38%","91.35%"
"Jefferson","Arkansas","48,552","85.41%","91.38%"
"Henry","Tennessee","48,540","85.44%","91.4%"
"Charlton","Georgia","48,534","85.47%","91.42%"
"West Carroll Parish","Louisiana","48,514","85.5%","91.45%"
"Clay","Arkansas","48,500","85.53%","91.47%"
"Scott","Mississippi","48,492","85.56%","91.49%"
"DeKalb","Tennessee","48,484","85.6%","91.52%"
"Edgecombe","North Carolina","48,480","85.63%","91.54%"
"Henry","Virginia","48,445","85.66%","91.56%"
"Carter","Tennessee","48,435","85.69%","91.59%"
"Baxter","Arkansas","48,427","85.72%","91.61%"
"Leake","Mississippi","48,418","85.75%","91.63%"
"Cocke","Tennessee","48,416","85.78%","91.65%"
"Rockcastle","Kentucky","48,367","85.81%","91.68%"
"Barbour","West Virginia","48,347","85.84%","91.7%"
"Harney","Oregon","48,338","85.87%","91.72%"
"Choctaw","Mississippi","48,321","85.9%","91.75%"
"Lincoln","Mississippi","48,316","85.94%","91.77%"
"Monroe","Missouri","48,299","85.97%","91.79%"
"Holmes","Florida","48,236","86%","91.82%"
"Kusilvak Census Area","Alaska","48,233","86.03%","91.84%"
"Menard","Texas","48,191","86.06%","91.86%"
"Columbus","North Carolina","48,184","86.09%","91.89%"
"Madison","Florida","48,176","86.12%","91.91%"
"Coal","Oklahoma","48,162","86.15%","91.93%"
"Woodson","Kansas","48,152","86.18%","91.95%"
"McDonald","Missouri","48,145","86.21%","91.98%"
"Attala","Mississippi","48,098","86.24%","92%"
"Texas","Missouri","48,055","86.28%","92.02%"
"Wyoming","West Virginia","48,038","86.31%","92.05%"
"Taliaferro","Georgia","48,036","86.34%","92.07%"
"Wilcox","Georgia","48,036","86.37%","92.09%"
"Winston","Alabama","48,032","86.4%","92.11%"
"Adair","Oklahoma","48,028","86.43%","92.14%"
"Grenada","Mississippi","47,998","86.46%","92.16%"
"Copiah","Mississippi","47,994","86.49%","92.18%"
"Pike","Alabama","47,961","86.52%","92.21%"
"Northampton","North Carolina","47,935","86.55%","92.23%"
"Hughes","Oklahoma","47,923","86.58%","92.25%"
"Montmorency","Michigan","47,803","86.62%","92.27%"
"Brantley","Georgia","47,801","86.65%","92.3%"
"Mercer","West Virginia","47,799","86.68%","92.32%"
"Chattooga","Georgia","47,785","86.71%","92.34%"
"Iosco","Michigan","47,777","86.74%","92.37%"
"Catahoula Parish","Louisiana","47,753","86.77%","92.39%"
"Izard","Arkansas","47,728","86.8%","92.41%"
"Hamilton","Florida","47,696","86.83%","92.43%"
"Pulaski","Georgia","47,688","86.86%","92.46%"
"Cameron","Pennsylvania","47,681","86.89%","92.48%"
"Brooks","Georgia","47,656","86.92%","92.5%"
"Dixie","Florida","47,655","86.96%","92.53%"
"Hempstead","Arkansas","47,654","86.99%","92.55%"
"Chesterfield","South Carolina","47,620","87.02%","92.57%"
"Crowley","Colorado","47,563","87.05%","92.59%"
"Blackford","Indiana","47,560","87.08%","92.62%"
"Socorro","New Mexico","47,556","87.11%","92.64%"
"Morgan","Kentucky","47,493","87.14%","92.66%"
"Jim Wells","Texas","47,492","87.17%","92.68%"
"Hertford","North Carolina","47,472","87.2%","92.71%"
"Lamar","Alabama","47,447","87.23%","92.73%"
"Marion","Texas","47,447","87.26%","92.75%"
"Tillman","Oklahoma","47,445","87.3%","92.78%"
"Darlington","South Carolina","47,419","87.33%","92.8%"
"San Miguel","New Mexico","47,400","87.36%","92.82%"
"Newton","Arkansas","47,395","87.39%","92.84%"
"Dunklin","Missouri","47,368","87.42%","92.87%"
"Columbia","Arkansas","47,363","87.45%","92.89%"
"Hyde","North Carolina","47,338","87.48%","92.91%"
"Ziebach","South Dakota","47,333","87.51%","92.93%"
"Jackson","Florida","47,327","87.54%","92.96%"
"Wright","Missouri","47,304","87.57%","92.98%"
"Van Buren","Arkansas","47,266","87.6%","93%"
"Putnam","Florida","47,256","87.64%","93.02%"
"Logan","West Virginia","47,237","87.67%","93.05%"
"Conejos","Colorado","47,209","87.7%","93.07%"
"Poinsett","Arkansas","47,188","87.73%","93.09%"
"Jasper","Mississippi","47,157","87.76%","93.11%"
"Wheatland","Montana","47,054","87.79%","93.14%"
"Lincoln","Montana","47,018","87.82%","93.16%"
"Pickens","Alabama","47,014","87.85%","93.18%"
"Cross","Arkansas","47,012","87.88%","93.2%"
"Crittenden","Kentucky","47,003","87.91%","93.23%"
"Covington","Mississippi","47,001","87.94%","93.25%"
"Buffalo","South Dakota","47,000","87.98%","93.27%"
"Terrell","Texas","46,989","88.01%","93.29%"
"Fairfield","South Carolina","46,972","88.04%","93.32%"
"Marion","Arkansas","46,953","88.07%","93.34%"
"Vance","North Carolina","46,943","88.1%","93.36%"
"Red River","Texas","46,912","88.13%","93.38%"
"Calhoun","Florida","46,901","88.16%","93.41%"
"Smyth","Virginia","46,859","88.19%","93.43%"
"Natchitoches Parish","Louisiana","46,798","88.22%","93.45%"
"Martin","North Carolina","46,793","88.25%","93.47%"
"Dougherty","Georgia","46,784","88.28%","93.49%"
"Warren","Georgia","46,776","88.32%","93.52%"
"St. Clair","Missouri","46,731","88.35%","93.54%"
"Hall","Texas","46,728","88.38%","93.56%"
"Meigs","Ohio","46,701","88.41%","93.58%"
"Wilkinson","Georgia","46,673","88.44%","93.61%"
"Claiborne","Tennessee","46,587","88.47%","93.63%"
"Jefferson","Georgia","46,561","88.5%","93.65%"
"Catron","New Mexico","46,439","88.53%","93.67%"
"Coke","Texas","46,431","88.56%","93.7%"
"Winn Parish","Louisiana","46,368","88.59%","93.72%"
"San Augustine","Texas","46,338","88.62%","93.74%"
"Mississippi","Missouri","46,258","88.66%","93.76%"
"Tishomingo","Mississippi","46,257","88.69%","93.78%"
"Torrance","New Mexico","46,250","88.72%","93.81%"
"McIntosh","Oklahoma","46,203","88.75%","93.83%"
"Seminole","Oklahoma","46,191","88.78%","93.85%"
"Decatur","Tennessee","46,190","88.81%","93.87%"
"Martin","Kentucky","46,185","88.84%","93.89%"
"Hardeman","Tennessee","46,173","88.87%","93.92%"
"Worth","Missouri","46,167","88.9%","93.94%"
"Overton","Tennessee","46,159","88.93%","93.96%"
"De Soto Parish","Louisiana","46,077","88.96%","93.98%"
"Clarke","Mississippi","46,054","89%","94%"
"Guaynabo Municipio","Puerto Rico","46,048","89.03%","94.03%"
"Gadsden","Florida","46,047","89.06%","94.05%"
"Scott","Arkansas","45,955","89.09%","94.07%"
"Macon","Alabama","45,951","89.12%","94.09%"
"Bertie","North Carolina","45,931","89.15%","94.11%"
"Grant","New Mexico","45,921","89.18%","94.14%"
"Terry","Texas","45,905","89.21%","94.16%"
"Hooker","Nebraska","45,854","89.24%","94.18%"
"McMullen","Texas","45,833","89.27%","94.2%"
"Tazewell","Virginia","45,788","89.3%","94.22%"
"Union Parish","Louisiana","45,743","89.34%","94.25%"
"Willacy","Texas","45,645","89.37%","94.27%"
"St. Landry Parish","Louisiana","45,637","89.4%","94.29%"
"Franklin","Mississippi","45,618","89.43%","94.31%"
"Lawrence","Kentucky","45,584","89.46%","94.33%"
"Cedar","Missouri","45,577","89.49%","94.35%"
"Grundy","Tennessee","45,573","89.52%","94.38%"
"Jackson","Illinois","45,572","89.55%","94.4%"
"Choctaw","Oklahoma","45,456","89.58%","94.42%"
"Walthall","Mississippi","45,444","89.61%","94.44%"
"Okfuskee","Oklahoma","45,441","89.64%","94.46%"
"Real","Texas","45,417","89.68%","94.48%"
"Union","New Mexico","45,319","89.71%","94.51%"
"Warren","North Carolina","45,279","89.74%","94.53%"
"Acadia Parish","Louisiana","45,266","89.77%","94.55%"
"Wheeler","Georgia","45,262","89.8%","94.57%"
"Perry","Kentucky","45,261","89.83%","94.59%"
"Roane","West Virginia","45,194","89.86%","94.61%"
"Prairie","Montana","45,192","89.89%","94.64%"
"Scott","Virginia","45,136","89.92%","94.66%"
"Glacier","Montana","45,129","89.95%","94.68%"
"Talbot","Georgia","45,098","89.98%","94.7%"
"Carter","Missouri","45,083","90.02%","94.72%"
"Halifax","North Carolina","45,071","90.05%","94.74%"
"Montgomery","Mississippi","45,057","90.08%","94.76%"
"Taylor","Florida","44,985","90.11%","94.79%"
"Caldwell Parish","Louisiana","44,957","90.14%","94.81%"
"Telfair","Georgia","44,948","90.17%","94.83%"
"Butler","Alabama","44,881","90.2%","94.85%"
"Ware","Georgia","44,833","90.23%","94.87%"
"Johnson","Arkansas","44,808","90.26%","94.89%"
"Lenoir","North Carolina","44,795","90.29%","94.91%"
"Garden","Nebraska","44,777","90.32%","94.94%"
"Clay","Tennessee","44,712","90.36%","94.96%"
"Bristol city","Virginia","44,706","90.39%","94.98%"
"Dallas","Arkansas","44,694","90.42%","95%"
"Menifee","Kentucky","44,672","90.45%","95.02%"
"Piute","Utah","44,650","90.48%","95.04%"
"Pushmataha","Oklahoma","44,634","90.51%","95.06%"
"Pickett","Tennessee","44,591","90.54%","95.09%"
"Bennett","South Dakota","44,569","90.57%","95.11%"
"Red River Parish","Louisiana","44,539","90.6%","95.13%"
"Bladen","North Carolina","44,528","90.63%","95.15%"
"McKinley","New Mexico","44,496","90.66%","95.17%"
"Howard","Arkansas","44,492","90.7%","95.19%"
"Choctaw","Alabama","44,483","90.73%","95.21%"
"Ashley","Arkansas","44,481","90.76%","95.23%"
"Braxton","West Virginia","44,449","90.79%","95.26%"
"Escambia","Alabama","44,447","90.82%","95.28%"
"Baker","Georgia","44,405","90.85%","95.3%"
"Lanier","Georgia","44,361","90.88%","95.32%"
"Reynolds","Missouri","44,357","90.91%","95.34%"
"Barbour","Alabama","44,290","90.94%","95.36%"
"Alleghany","North Carolina","44,272","90.97%","95.38%"
"Oregon","Missouri","44,259","91%","95.4%"
"Anson","North Carolina","44,245","91.04%","95.42%"
"Marengo","Alabama","44,205","91.07%","95.45%"
"Lawrence","Arkansas","44,164","91.1%","95.47%"
"Lee","South Carolina","44,145","91.13%","95.49%"
"Franklin Parish","Louisiana","44,103","91.16%","95.51%"
"Dillon","South Carolina","44,038","91.19%","95.53%"
"Washington","Georgia","44,009","91.22%","95.55%"
"Panola","Mississippi","43,990","91.25%","95.57%"
"Monroe","Arkansas","43,955","91.28%","95.59%"
"Tyrrell","North Carolina","43,952","91.31%","95.61%"
"Calhoun","Mississippi","43,942","91.34%","95.64%"
"Estill","Kentucky","43,905","91.38%","95.66%"
"Ripley","Missouri","43,898","91.41%","95.68%"
"Dickenson","Virginia","43,831","91.44%","95.7%"
"Terrell","Georgia","43,812","91.47%","95.72%"
"Treutlen","Georgia","43,750","91.5%","95.74%"
"Corson","South Dakota","43,750","91.53%","95.76%"
"Appling","Georgia","43,728","91.56%","95.78%"
"Quay","New Mexico","43,698","91.59%","95.8%"
"Richmond","North Carolina","43,626","91.62%","95.82%"
"Kemper","Mississippi","43,595","91.65%","95.84%"
"Alexander","Illinois","43,523","91.68%","95.86%"
"Haywood","Tennessee","43,513","91.72%","95.89%"
"Scotland","North Carolina","43,500","91.75%","95.91%"
"Oktibbeha","Mississippi","43,482","91.78%","95.93%"
"Williamsburg","South Carolina","43,471","91.81%","95.95%"
"Wayne","Missouri","43,393","91.84%","95.97%"
"Lawrence","Mississippi","43,368","91.87%","95.99%"
"Jackson Parish","Louisiana","43,345","91.9%","96.01%"
"Butte","Idaho","43,281","91.93%","96.03%"
"Pulaski","Illinois","43,227","91.96%","96.05%"
"Orangeburg","South Carolina","43,214","91.99%","96.07%"
"Bamberg","South Carolina","43,206","92.02%","96.09%"
"Hampton","South Carolina","43,059","92.06%","96.11%"
"Chickasaw","Mississippi","43,041","92.09%","96.13%"
"Johnson","Kentucky","43,014","92.12%","96.15%"
"Sharp","Arkansas","42,950","92.15%","96.17%"
"Grayson","Virginia","42,864","92.18%","96.2%"
"Clay","West Virginia","42,790","92.21%","96.22%"
"Danville city","Virginia","42,778","92.24%","96.24%"
"Washington Parish","Louisiana","42,776","92.27%","96.26%"
"Crisp","Georgia","42,745","92.3%","96.28%"
"Covington city","Virginia","42,724","92.33%","96.3%"
"Scott","Tennessee","42,679","92.36%","96.32%"
"Culberson","Texas","42,672","92.4%","96.34%"
"Summers","West Virginia","42,544","92.43%","96.36%"
"Martinsville city","Virginia","42,434","92.46%","96.38%"
"Ozark","Missouri","42,329","92.49%","96.4%"
"Marion","Mississippi","42,320","92.52%","96.42%"
"Baylor","Texas","42,313","92.55%","96.44%"
"Evangeline Parish","Louisiana","42,273","92.58%","96.46%"
"Lee","Virginia","42,269","92.61%","96.48%"
"Conecuh","Alabama","42,266","92.64%","96.5%"
"Wilcox","Alabama","42,236","92.67%","96.52%"
"Jim Hogg","Texas","42,230","92.7%","96.54%"
"Buchanan","Virginia","42,216","92.74%","96.56%"
"Foard","Texas","42,212","92.77%","96.58%"
"Pike","Kentucky","42,179","92.8%","96.6%"
"Clinton","Kentucky","42,168","92.83%","96.62%"
"Benton","Mississippi","42,139","92.86%","96.64%"
"Cochran","Texas","42,137","92.89%","96.66%"
"Kiowa","Oklahoma","42,063","92.92%","96.68%"
"Webster","West Virginia","42,061","92.95%","96.7%"
"Searcy","Arkansas","41,978","92.98%","96.72%"
"Wayne","Kentucky","41,933","93.01%","96.74%"
"Zavala","Texas","41,887","93.04%","96.76%"
"Sumter","Georgia","41,877","93.08%","96.78%"
"Jackson","Colorado","41,809","93.11%","96.8%"
"Barnwell","South Carolina","41,800","93.14%","96.82%"
"St. Francis","Arkansas","41,784","93.17%","96.84%"
"Nevada","Arkansas","41,761","93.2%","96.86%"
"Washington","North Carolina","41,750","93.23%","96.88%"
"Taylor","Georgia","41,743","93.26%","96.9%"
"Whitley","Kentucky","41,719","93.29%","96.92%"
"Casey","Kentucky","41,689","93.32%","96.94%"
"Sioux","North Dakota","41,676","93.35%","96.96%"
"Lewis","Kentucky","41,632","93.38%","96.98%"
"Floyd","Kentucky","41,582","93.42%","97%"
"Pike","Mississippi","41,578","93.45%","97.02%"
"Jackson","Tennessee","41,475","93.48%","97.04%"
"Galax city","Virginia","41,438","93.51%","97.06%"
"Calhoun","West Virginia","41,421","93.54%","97.08%"
"Jackson","Kentucky","41,410","93.57%","97.1%"
"Hale","Alabama","41,325","93.6%","97.12%"
"Harding","New Mexico","41,250","93.63%","97.14%"
"Jackson","Arkansas","41,215","93.66%","97.16%"
"Union","South Carolina","41,200","93.69%","97.18%"
"Pocahontas","West Virginia","41,200","93.72%","97.2%"
"Briscoe","Texas","41,188","93.76%","97.22%"
"Breathitt","Kentucky","41,101","93.79%","97.24%"
"Green","Kentucky","41,087","93.82%","97.26%"
"Drew","Arkansas","41,071","93.85%","97.28%"
"Latimer","Oklahoma","41,048","93.88%","97.3%"
"Newton","Texas","41,044","93.91%","97.32%"
"Yazoo","Mississippi","40,974","93.94%","97.33%"
"Jeff Davis","Georgia","40,879","93.97%","97.35%"
"De Baca","New Mexico","40,804","94%","97.37%"
"Webster","Georgia","40,764","94.03%","97.39%"
"Pemiscot","Missouri","40,748","94.06%","97.41%"
"Letcher","Kentucky","40,501","94.1%","97.43%"
"Baca","Colorado","40,380","94.13%","97.45%"
"Apache","Arizona","40,338","94.16%","97.47%"
"Robeson","North Carolina","40,318","94.19%","97.49%"
"Sunflower","Mississippi","40,265","94.22%","97.51%"
"Adams","Mississippi","40,250","94.25%","97.53%"
"Monroe","Alabama","40,225","94.28%","97.55%"
"Leslie","Kentucky","40,176","94.31%","97.57%"
"Guadalupe","New Mexico","40,149","94.34%","97.59%"
"Washington","Mississippi","40,117","94.37%","97.61%"
"Elliott","Kentucky","40,074","94.4%","97.62%"
"Clay","Mississippi","39,904","94.44%","97.64%"
"Powell","Kentucky","39,811","94.47%","97.66%"
"Chicot","Arkansas","39,683","94.5%","97.68%"
"Cumberland","Kentucky","39,662","94.53%","97.7%"
"Clay","Kentucky","39,607","94.56%","97.72%"
"Bradley","Arkansas","39,565","94.59%","97.74%"
"Turner","Georgia","39,565","94.62%","97.76%"
"Gurabo Municipio","Puerto Rico","39,532","94.65%","97.78%"
"Mingo","West Virginia","39,527","94.68%","97.79%"
"Avoyelles Parish","Louisiana","39,439","94.71%","97.81%"
"Hudspeth","Texas","39,336","94.74%","97.83%"
"Todd","South Dakota","39,148","94.78%","97.85%"
"Ben Hill","Georgia","39,081","94.81%","97.87%"
"Swisher","Texas","39,031","94.84%","97.89%"
"Fulton","Arkansas","38,941","94.87%","97.91%"
"Glades","Florida","38,905","94.9%","97.93%"
"Phillips","Arkansas","38,874","94.93%","97.94%"
"Noxubee","Mississippi","38,814","94.96%","97.96%"
"Trujillo Alto Municipio","Puerto Rico","38,773","94.99%","97.98%"
"Stone","Arkansas","38,531","95.02%","98%"
"Edwards","Texas","38,500","95.05%","98.02%"
"Norton city","Virginia","38,497","95.09%","98.04%"
"Atkinson","Georgia","38,438","95.12%","98.05%"
"Tunica","Mississippi","38,402","95.15%","98.07%"
"Starr","Texas","38,182","95.18%","98.09%"
"Lincoln Parish","Louisiana","38,035","95.21%","98.11%"
"Sumter","Alabama","37,981","95.24%","98.13%"
"Luna","New Mexico","37,917","95.27%","98.15%"
"Sierra","New Mexico","37,840","95.3%","98.16%"
"Knott","Kentucky","37,736","95.33%","98.18%"
"Webster Parish","Louisiana","37,396","95.36%","98.2%"
"Tallahatchie","Mississippi","37,383","95.39%","98.22%"
"McCreary","Kentucky","37,355","95.43%","98.24%"
"Concordia Parish","Louisiana","37,349","95.46%","98.25%"
"Bolivar","Mississippi","37,315","95.49%","98.27%"
"Madison Parish","Louisiana","37,267","95.52%","98.29%"
"Lafayette","Arkansas","37,237","95.55%","98.31%"
"Harlan","Kentucky","37,198","95.58%","98.32%"
"Jefferson Davis","Mississippi","37,183","95.61%","98.34%"
"Macon","Georgia","37,177","95.64%","98.36%"
"Morehouse Parish","Louisiana","36,981","95.67%","98.38%"
"Jenkins","Georgia","36,906","95.7%","98.39%"
"Lee","Arkansas","36,860","95.73%","98.41%"
"Quitman","Georgia","36,838","95.77%","98.43%"
"Fulton","Kentucky","36,834","95.8%","98.45%"
"Dallas","Alabama","36,810","95.83%","98.47%"
"Wayne","Mississippi","36,791","95.86%","98.48%"
"Bullock","Alabama","36,723","95.89%","98.5%"
"Zapata","Texas","36,527","95.92%","98.52%"
"Costilla","Colorado","36,519","95.95%","98.54%"
"Marlboro","South Carolina","36,293","95.98%","98.55%"
"Coahoma","Mississippi","36,259","96.01%","98.57%"
"Jefferson","Mississippi","36,207","96.04%","98.59%"
"Tensas Parish","Louisiana","36,074","96.07%","98.6%"
"Desha","Arkansas","36,064","96.11%","98.62%"
"Wilkinson","Mississippi","35,930","96.14%","98.64%"
"Sharkey","Mississippi","35,741","96.17%","98.66%"
"Amite","Mississippi","35,385","96.2%","98.67%"
"Lowndes","Alabama","35,160","96.23%","98.69%"
"Carolina Municipio","Puerto Rico","35,126","96.26%","98.71%"
"Hickory","Missouri","35,084","96.29%","98.72%"
"Stewart","Georgia","35,000","96.32%","98.74%"
"Bienville Parish","Louisiana","34,992","96.35%","98.76%"
"Oglala Lakota","South Dakota","34,769","96.38%","98.77%"
"Marion","South Carolina","34,501","96.41%","98.79%"
"Claiborne","Mississippi","34,371","96.45%","98.81%"
"Perry","Alabama","34,368","96.48%","98.82%"
"Lee","Kentucky","34,182","96.51%","98.84%"
"Magoffin","Kentucky","33,632","96.54%","98.85%"
"Dimmit","Texas","33,409","96.57%","98.87%"
"Dorado Municipio","Puerto Rico","33,388","96.6%","98.89%"
"Toa Alta Municipio","Puerto Rico","33,349","96.63%","98.9%"
"Leflore","Mississippi","33,188","96.66%","98.92%"
"Hancock","Georgia","33,182","96.69%","98.93%"
"Knox","Kentucky","33,153","96.72%","98.95%"
"Humphreys","Mississippi","32,976","96.75%","98.97%"
"Jeff Davis","Texas","32,625","96.79%","98.98%"
"Bell","Kentucky","32,403","96.82%","99%"
"Quitman","Mississippi","32,131","96.85%","99.01%"
"Hancock","Tennessee","31,995","96.88%","99.03%"
"Claiborne Parish","Louisiana","31,784","96.91%","99.04%"
"Allendale","South Carolina","31,603","96.94%","99.06%"
"Greene","Alabama","31,495","96.97%","99.07%"
"Brooks","Texas","31,310","97%","99.09%"
"Owsley","Kentucky","31,064","97.03%","99.1%"
"Bayamón Municipio","Puerto Rico","30,729","97.06%","99.12%"
"Lake","Tennessee","30,500","97.09%","99.13%"
"Caguas Municipio","Puerto Rico","30,113","97.13%","99.15%"
"McDowell","West Virginia","29,980","97.16%","99.16%"
"Toa Baja Municipio","Puerto Rico","29,648","97.19%","99.17%"
"Holmes","Mississippi","29,434","97.22%","99.19%"
"Issaquena","Mississippi","29,271","97.25%","99.2%"
"Wolfe","Kentucky","29,052","97.28%","99.22%"
"Presidio","Texas","29,014","97.31%","99.23%"
"Cayey Municipio","Puerto Rico","28,461","97.34%","99.24%"
"East Carroll Parish","Louisiana","28,321","97.37%","99.26%"
"Juncos Municipio","Puerto Rico","28,196","97.4%","99.27%"
"Hatillo Municipio","Puerto Rico","28,001","97.43%","99.28%"
"Culebra Municipio","Puerto Rico","27,614","97.47%","99.3%"
"Canóvanas Municipio","Puerto Rico","27,278","97.5%","99.31%"
"Cidra Municipio","Puerto Rico","27,149","97.53%","99.32%"
"San Juan Municipio","Puerto Rico","26,981","97.56%","99.34%"
"Río Grande Municipio","Puerto Rico","26,745","97.59%","99.35%"
"Jackson","South Dakota","26,686","97.62%","99.36%"
"Camuy Municipio","Puerto Rico","26,094","97.65%","99.37%"
